ID,Name,Key,EditType,EditTypeEX,IsTemplate,DropType,TriggerType,Model,Texture,TextureID,Quality,Chip,ShowType,ShowId,QualityLevel,ShowQuality,InvolvedID,UnlockType,UnlockFlag,ReplaceID,ChipPrice,ChipNum,CondUnlcokType,FilterType,Type,CreateType,ClassificationType,SortId,EXSortId,TypeDesc,Version,UnlockWay,TypeDesc,Desc,GetWay,Icon,IsMeshModel,IconEffect,WieldSound,WieldImage,WieldScale,ThirdPersonScale,DropScale,WieldPeriod,StackMax,Usable,Range,ItemGroup,UseTarget,UseScript,UseScript2,EmitScript,EnchantTag,StuffType,EnchantAfterID,,CanExtract,Score,Cooldown,Skills,CostFoodLevel,HandEffect,HandEffect,Scale,ScriptMasking
15,咒岩,CurseStone,11,,,4,3,,,,,,,,,-1,,,,,,,,3,1,4,[43],0,220,测试,,,100018,散发着诡异气息的岩石，触碰流沙后会怎样？挖掘时会获得流血诅咒！,地下遗迹的外墙,,2,,,,,,,200,64,0,5,,,,,,,,,,,,,,,,,,
16,咒岩-激活,CurseStoneActivated,,,,,,,,,,,,,,-1,,,,,,,,,0,0,,,,测试,,,100018,散发着诡异气息的岩石，触碰流沙后会怎样？挖掘时会获得流血诅咒！,地下遗迹的外墙,,2,,,,,,,200,64,0,5,,,,,,,,,,,,,,,,,,
17,静态剧毒,StaticHighlyVenom,11,,,4,2,,,,,,,,,-1,,,,,,,,,0,0,,70,750,测试,,,,散发着危险气息的液体，尽量远离,,,2,,,,,,,200,64,0,5,,,,,,,,,,,,,,,,,,
18,动态剧毒,HighlyVenom,11,,,4,2,,,,,,,,,-1,,,,,,,,,0,0,,70,750,测试,,,,散发着危险气息的液体，尽量远离,,,2,,,,,,,200,64,0,5,,,,,,,,,,,,,,,,,,
19,风蚀岩,WindErosionStone,11,,,4,4,,,,,,,,,-1,,,,,,,,3,1,4,[41],0,220,测试,,,,强风侵蚀后的沙漠岩石，有些脆弱,,,2,,,,,,,200,64,0,5,,,,,,,,,,,,,,,,,,
20,外星空气,,,,,,,,,,,,,,,-1,,,,,,,,,0,0,,,,测试,,,,快去下载最新的游戏版本吧！,,,2,,,,,,,200,64,0,5,,,,,,,,,,,,,,,,,,
21,游戏版本过低,,,,,,,,,,,,,,,-1,,,,,,,,,0,0,,,,测试,,,,快去下载最新的游戏版本吧！,,,2,,,,,,,200,64,0,5,,,,,,,,,,,,,,,,,,
22,游戏版本过低,,,,,,,,,,,,,,,-1,,,,,,,,,0,0,,,,测试,,,,快去下载最新的游戏版本吧！,,,2,,,,,,,200,64,0,5,,,,,,,,,,,,,,,,,,
23,深积岩,SedimentaryRock,11,,,4,4,,,,,,,,,-1,,,,,,,,3,1,4,[41],0,240,测试,22,,,在深海中被挤压了数万年而形成的层叠结构，蕴含了深海藻类所需的各类营养，非常适合种植荧光棒藻和红藻,破坏深积岩获得,,2,,,,,,,200,64,0,5,,,,,,,,,,,,,,,,,,
24,锰结核矿,ManganeseOre,11,,,4,3,,,,,,,,,-1,,,,,,,,3,1,4,[42],0,650,测试,22,,,用于#c0aba1d强化潜水装备、制作硬化玻璃块#n抵御深海的高压,锰金属不断地在深积岩中凝聚所产生的矿物，因此只在深海稍有产出，破坏后掉落的锰结核,,2,,,,,,,200,64,0,5,,,,,,,,,,,,,,,,,,
25,礁石,Reef,11,,,4,4,,,,,,,,,-1,,,,,,,,3,1,4,[41],0,240,测试,22,,,非常适合珊瑚生长，珊瑚成熟后，礁石的颜色也会随之变化,,,2,,,,,,,200,64,0,5,,,,,,,,,,,,,,,,,,
26,漂流瓶,,32,,,3,4,,,,,,,,,-1,,,,,,,,3,1,3,[33],0,140,测试,22,,100014,在海洋与河流生态#c0aba1d蓄力#n丢出，水流会带着你的心愿到远方，也许有一天会被人在远方发现,将皮革卷轴放入放置在小玻璃瓶方块中获得,icon12720,2,,,,1.5,1.5,1.5,200,1,0,5,,9,,,,,,,,,,,,,,,,
27,远方的漂流瓶,,,,,3,4,,,,,,,,,-1,,,,,,,,,,,,,,测试,22,,100014,密封在漂流瓶中的纸条往往包含着重要的信息或者衷心的祝福，当然也有可能是某人某时的所思所想，看它的样子像是跨越了山海，穿越了时间…把瓶子放在地上取出纸条看看吧…,钓鱼和探索海洋有几率获得,icon27,2,,,,1.5,1.5,1.5,200,1,0,5,,9,,,,,,,,,,,,,,,,
28,小玻璃瓶（方块）,,,,,,,,,,,,,,,-1,,,,,,,,,,,,,,测试,22,,100014,将它摆出来，把写了字的皮革卷轴装进去,,icon11320,2,,,,1.5,1.5,1.5,200,64,0,5,,,,,,,,,,,,,,,,,,
29,黄沙,Sand,11,,,4,3,,,,,,,,,-1,,,,,,,,3,1,4,[41],0,110,测试,,,100016,常见于水边和沙漠地区，铲类工具可快速开采，是加工石英砂的原材料，石英砂常用于烧制玻璃,,,2,,,,,,,200,64,0,5,29,,,,,,,,,,,,,,,,,
30,游戏版本过低,,,,,,,,,,,,,,,-1,,,,,,,,,0,0,,,,测试,,,,快去下载最新的游戏版本吧！,,,2,,,,,,,200,64,0,5,,,,,,,,,,,,,,,,,,
100,草块,GrassBlock,11,,,4,3,,,,,,,,,-1,,,,,,,,3,1,4,[41],0,10,测试,,,100016,地表方块，铲类工具可快速开采，#c0aba1d使用耙类工具可变为耕地，使用铲类工具可变为土坑,,,2,,,,,,,200,64,0,5,,,,,,,,,,,,,,,,,,
101,土块,Soil,11,,,4,3,,,,,,,,,-1,,,,,,,,3,1,4,[41],0,10,测试,,,100016,地表之下随手可得，雨后有可能会萌发绿意变草块，铲类工具可快速开采，#c0aba1d使用耙类工具可变为耕地，使用铲类工具可变为土坑,,,2,,,,,,,200,64,0,5,,,,,,,,,,,,,,,,,,
102,耕地,Farmland,11,,,4,3,,,,,,,,,-1,,,,,,,,3,1,0,,0,10,测试,,,,可种植农作物，靠近水或用水源灌溉可保持湿润，利于作物生长,,,2,,,,,,,200,64,0,5,,,,,,,,,,,,,,,,,,
103,土坑,Pit,11,,,4,3,,,,,,,,,-1,,,,,,,,3,1,0,,0,10,测试,,,,可种植花种子、树苗，靠近水源或用水灌溉可保持湿润，利于植物生长,,,2,,,,,,,200,64,0,5,,,,,,,,,,,,,,,,,,
104,岩石,Stone,11,,,4,3,,,,,,,,,-1,,,,,,,,3,1,4,[41],0,210,测试,,,100016,地下随处可见，镐类工具可快速开采,,,2,,,,,,,200,64,0,5,,,,,,,,,,,,,,,,,,
105,青石,MossRock,11,,,4,4,,,,,,,,,-1,,,,,,,,3,1,4,[41],0,210,测试,,,100016,使用石料和苔藓加工而成的建筑材料,,,2,,,,,,,200,64,0,5,,,,,,,,,,,,,,,,,,
106,细黄沙,Sand,,,,,,,,,,,,,,-1,,,,,,,,3,1,,,0,0,测试,,,100016,常见于水边和沙漠地区，铲类工具可快速开采，是加工石英砂的原材料，石英砂常用于烧制玻璃#r会受重力影响下落,,,2,,,,,,,200,64,0,5,29,,,,,,,,,,,,,,,,,
107,碎石堆,Gravel,11,,,4,3,,,,,,,,,-1,,,,,,,,3,1,4,[41],0,111,测试,,,100016,不牢固的碎石堆，铲类工具可以快速开采。#r下方为空时，站在上面会塌陷，小心站稳,,,2,,,,,,,200,64,0,5,,,,,,,,,,,,,,,,,,
108,素纹黄砖,Sandstone,13,,,4,4,,,,,,,,,-1,,,,,,,,3,1,4,[44],0,110,测试,,,100011,用黄沙烧制的建筑材料,,,2,,,,,,,200,64,0,5,107,,,,,,,,,,,,,,,,,
109,砂土,SandySoil,11,,,4,4,,,,,,,,,-1,,,,,,,,3,1,4,[41],0,110,测试,,,100016,贫瘠的土块，植物无法在上面生长，铲类工具可快速开采,,,2,,,,,,,200,64,0,5,,,,,,,,,,,,,,,,,,
110,散落的石块,ScatteredStone,12,,,4,3,,,,,,,,,-1,,,,,,,,3,1,4,[41],0,850,测试,,,100016,被风磨损的小岩石，开采后获得石料，用来加工石质工具,,,2,,,,,,,200,64,0,5,,,,,,,,,,,,,,,,,,
111,游戏版本过低,,,,,,,,,,,,,,,-1,,,,,,,,3,0,0,,,,测试,,,,快去下载最新的游戏版本吧！,,,2,,,,,,,200,64,0,5,,,,,,,,,,,,,,,,,,
112,黑晶石,BlackCrystal,,,,,,,,,,,,,,-1,,,,,,,,,,,,,,测试,,,100018,受到虚空幻影的影响，地质结构剧烈变化，该矿石已不复存在,,,2,,,,,,,200,64,0,5,,,,,,,,,,,,,,,,,,
113,脆冰,FloatingIce,,,,,,,,,,,,,,-1,,,,,,,,3,1,0,,,,测试,,,,水上的脆冰，敲碎后化作星星点点消散天地之间,,,2,,,,,,,200,64,0,5,,,,,,,,,,,,,,,,,,
114,淤泥,Silt,11,,,4,3,,,,,,,,,-1,,,,,,,,3,1,0,[41],0,230,测试,,,100016,水底的土块，镐类工具可以快速开采,,,2,,,,,,,200,64,0,5,,,,,,,,,,,,,,,,,,
115,积雪,Snow,12,,,4,4,,,,,,,,,-1,,,,,,,,3,1,4,[41],0,850,测试,,,100016,覆盖在物体表面的雪层,,,2,,,,,,,200,64,0,5,,1,,,,,,,,,,,,,,,,
116,萌眼星石块,HorasRock,11,,,4,3,,,,,,,,,-1,,,,,,,,3,1,4,[41],0,260,测试,,,100016,萌眼星的特殊石块，抗爆炸能力强，要用#c0aba1d秘银镐#n或更高级镐类工具开采,,,2,,,,,,,200,64,0,5,,,,,,,,,,,,,,,,,,
117,萌眼星草块,Horasgrass,11,,,4,3,,,,,,,,,-1,,,,,,,,3,1,4,[41],0,20,测试,,,100016,萌眼星的草块，含有植物生长的必要养分。要用#c0aba1d秘银铲#n或更高级铲类工具开采,,,2,,,,,,,200,64,0,5,,,,,,,,,,,,,,,,,,
118,萌眼星云团,Horascloud,11,,,4,3,,,,,,,,,-1,,,,,,,,3,1,4,[43],0,550,测试,,,100018,萌眼星空岛周边的云块，踩上去就会开始破碎,,,2,,,,,,,200,64,0,5,632,,,,,,,,,,,,,,,,,
119,旱土,Drysoil,11,,,4,3,,,,,,,,,-1,,,,,,,,3,1,4,[41],0,10,测试,,,100016,在萌眼星，迷拉星的土块需要放在星球植物培养基上才能保持养分，否则就会失去养分成为旱土,,,2,,,,,,,200,64,0,5,,,,,,,,,,,,,,,,,,
120,游戏版本过低,,,,,,,,,,,,,,,-1,,,,,,,,,0,0,,,,测试,,,,快去下载最新的游戏版本吧！,,,2,,,,,,,200,64,0,5,,,,,,,,,,,,,,,,,,
121,游戏版本过低,,,,,,,,,,,,,,,-1,,,,,,,,,0,0,,,,测试,,,,快去下载最新的游戏版本吧！,,,2,,,,,,,200,64,0,5,,,,,,,,,,,,,,,,,,
122,雪堆,SnowBlock,11,,,4,3,,,,,,,,,-1,,,,,,,,3,1,4,[41],0,350,测试,,,100016,厚实的雪，遇到高热的岩浆会融化成水,,,2,,,,,,,200,64,0,5,,,,,,,,,,,,,,,,,,
123,冰块,Ice,11,,,4,3,,,,,,,,,-1,,,,,,,,3,1,4,[41],0,350,测试,,,100016,常见于寒冷冰雪地带，镐类工具可快速开采，碰到高热的岩浆会融化成水,,,2,,,,,,,200,64,0,5,,,,,,,,,,,,,,,,,,
124,硫黄岩,SulphurRock,11,,,4,3,,,,,,,,,-1,,,,,,,,3,1,4,[41],0,250,测试,,,100016,烈焰星常见的岩石，用镐类工具可快速开采,,,2,,,,,,,200,64,0,5,,,,,,,,,,,,,,,,,,
125,灼沙,HotSand,11,,,4,3,,,,,,,,,-1,,,,,,,,3,1,4,[41],0,120,测试,,,100016,散发着灼热气息的黄沙，用铲类工具可快速开采,,,2,,,,,,,200,64,0,5,,,,,,,,,,,,,,,,,,
126,魔古岩,MagicRock,11,,,4,4,,,,,,,,,-1,,,,,,,,3,1,4,[43],0,290,测试,,,100018,未知之地的石头，不易被爆炸摧毁,商人有时会出售,,2,,,,,,,200,64,0,5,,,,,,,,,,,,,,,,,,
127,泡沫块,Sponge,13,,,4,4,,,,,,,,,-1,,,,,,,,3,1,4,[43],0,450,测试,,,100018,具有装饰作用的方块,,,2,,,,,,,200,64,0,5,,,,,,,,,,,,,,,,,,
128,红沙,Redsand,11,,,4,3,,,,,,,,,-1,,,,,,,,3,1,4,[43],0,120,测试,,,,罕见的红色沙堆，含有丰富的矿物元素，与凝能晶混合之后会变得非常不稳定,在红土岛屿和珊瑚岛屿中时有发现,,2,,,,,,,200,64,0,5,,,,,,,,,,,,,,,,,,
129,厚实的雪,ThickSnow,,,,,,,,,,,,,,-1,,,,,,,,3,1,0,,,,测试,,,,,,,2,,,,,,,200,64,0,5,,1,,,,,,,,,,,,,,,,
130,厚实的雪堆,ThickSnowBlock,,,,,,,,,,,,,,-1,,,,,,,,3,1,0,,,,测试,,,,想一起堆个雪人，或者来打雪仗,,,2,,,,,,,200,64,0,5,,,,,,,,,,,,,,,,,,
131,坚固的冰,HardIce,,,,,,,,,,,,,,-1,,,,,,,,3,1,0,,,,测试,,,,超级坚硬的冰，无法被撼动,,,2,,dig.stone,,,,,200,64,0,5,,,,,,,,,,,,,,,,,,
132,硫黄晶砂,SulfurCrystalSand,11,,,4,4,,,,,,,,,-1,,,,,,,,3,1,4,[43],0,250,测试,,,100018,出现在烈焰星的岩浆中，只能用#c0aba1d钨金铲#n开采，是制作混乱结晶的材料之一，被流体遮挡时会喷发,#c0aba1d生命可贵，请勿模仿任何游戏内的行为#n,,2,,,,,,,200,64,0,5,,,,,,,,,,,,,,,,,,
133,空的蜂巢,EmptyHoneycomb,12,,,4,4,,,,,,,,,-1,,,,,,,,3,1,4,[43],0,740,测试,,,100018,现在还没有蜂蜜入住，放到#c0aba1d桃花树的树叶#n下可以积蓄蜂蜜,,,2,,,,,,,200,64,0,5,,,,,,,,,,,,,,,,,,
134,满的蜂巢,FullHoneycomb,12,,,4,4,,,,,,,,,-1,,,,,,,,3,1,4,[43],0,740,测试,,,100018,装满蜂蜜的蜂巢，小心蜜蜂！对其使用小玻璃瓶可获得瓶装蜂蜜,,,2,,,,,,,200,64,0,5,,,,,,,,,,,,,,,,,,
135,神秘图腾-大地,Horastotem-Earth,14,,,3,4,,,,,,,,,-1,,,,,,,,3,1,3,[34],3,250,测试,,,100019,古文明中具有重要意义的石像，如今仅有装饰作用,萌眼星玛雅文明遗迹收集,,2,,,,,,,200,64,0,5,,1,TotemGarnish_OnUse,,,,,,,,,,,,,,,
136,神秘图腾-天空,Horastotem-Sky,14,,,3,4,,,,,,,,,-1,,,,,,,,3,1,3,[34],3,250,测试,,,100019,古文明中具有重要意义的石像，如今仅有装饰作用,萌眼星玛雅文明遗迹收集,,2,,,,,,,200,64,0,5,,1,TotemGarnish_OnUse,,,,,,,,,,,,,,,
137,萌眼星土坑,Horaspit,11,,,4,4,,,,,,,,,-1,,,,,,,,3,1,0,,0,20,测试,,,,,,,2,,,,,,,200,64,0,5,,,,,,,,,,,,,,,,,,
138,污染方块,ToxicBlock,,,,,4,,,,,,,,,-1,,,,,,,,,0,0,,,,测试,,,,,,,2,,,,,,,200,64,0,5,,,,,,,,,,,,,,,,,,
139,BOSS战使用方块,BossFightUtilityBlock,,,,,,,,,,,,,,-1,,,,,,,,,0,0,,,,测试,,,,,,,2,,,,,,,200,64,0,5,,1,TotemGarnish_OnUse,,,,,,,,,,,,,,,
140,生命石座,LifeStone,17,,,3,4,,,,,,,,,-1,,,,,,,,3,1,0,,0,1040,测试,0,,,古代英雄建造的魔法祭坛，代表迷拉星的生命力量；相传在三种祭坛上放置对应的圣物，即可释放星球的创造之力，逼迫邪恶之物现身,,icon140,0,,,,0.6,0.6,,200,1,0,5,,,,,,,,,,,,,,,,,,
141,勇气石座,CourageStone,17,,,3,4,,,,,,,,,-1,,,,,,,,3,1,0,,0,1040,测试,0,,,古代英雄建造的魔法祭坛，代表烈焰星的勇气力量；相传在三种祭坛上放置对应的圣物，即可释放星球的创造之力，逼迫邪恶之物现身,,icon141,0,,,,0.6,0.6,,200,1,0,5,,,,,,,,,,,,,,,,,,
142,智慧石座,WisdomStone,17,,,3,4,,,,,,,,,-1,,,,,,,,3,1,0,,0,1040,测试,0,,,古代英雄建造的魔法祭坛，代表萌眼星的智慧力量；相传在三种祭坛上放置对应的圣物，即可释放星球的创造之力，逼迫邪恶之物现身,,icon142,0,,,,0.6,0.6,,200,1,0,5,,,,,,,,,,,,,,,,,,
143,破损的祭台,BrokenAltar,17,,,3,4,,,,,,,,,-1,,,,,,,,3,1,3,[34],3,1040,测试,0,,,古代的祭台，因年代久远，被挖掘后已无法恢复原状，丧失了魔力；#r相传古代英雄在火山上建有三个神圣的祭台，在其上放置三种圣物，即可释放星球的创造之力，逼迫邪恶之物现身,,icon143,0,,,,0.6,0.6,,200,1,0,5,,,,,,,,,,,,,,,,,,
144,红薇蝶玻璃瓶,CrimsonButterflyBottle,14,,,3,4,,,,,,,,,-1,,,,,,,,3,1,3,[33],0,850,测试,0,,100014,放置后可照亮周围小片区域,在空岛地形用小玻璃瓶捕捉蝴蝶获得,icon144,2,,,,1.5,1.5,1.5,200,64,0,5,,,,,,,,,,,,,,,,,,
145,兰青蝶玻璃瓶,CyanButterflyBottle,14,,,3,4,,,,,,,,,-1,,,,,,,,3,1,3,[33],0,850,测试,0,,100014,放置后可照亮周围小片区域,在空岛地形用小玻璃瓶捕捉蝴蝶获得,icon145,2,,,,1.5,1.5,1.5,200,64,0,5,,,,,,,,,,,,,,,,,,
146,香粉蝶玻璃瓶,FragrantButterflyBottle,14,,,3,4,,,,,,,,,-1,,,,,,,,3,1,3,[33],0,850,测试,0,,100014,放置后可照亮周围小片区域,在空岛地形用小玻璃瓶捕捉蝴蝶获得,icon146,2,,,,1.5,1.5,1.5,200,64,0,5,,,,,,,,,,,,,,,,,,
147,白香蝶玻璃瓶,SunButterflyBottle,14,,,3,4,,,,,,,,,-1,,,,,,,,3,1,3,[33],0,850,测试,0,,100014,放置后可照亮周围小片区域,在空岛地形用小玻璃瓶捕捉蝴蝶获得,icon147,2,,,,1.5,1.5,1.5,200,64,0,5,,,,,,,,,,,,,,,,,,
148,龙信蝶玻璃瓶,DragonkinButterflyBottle,14,,,3,4,,,,,,,,,-1,,,,,,,,3,1,3,[33],0,850,测试,0,,100014,放置后可照亮周围小片区域,在空岛地形用小玻璃瓶捕捉蝴蝶获得,icon148,2,,,,1.5,1.5,1.5,200,64,0,5,,,,,,,,,,,,,,,,,,
149,舌钟蝶玻璃瓶,ShezhongButterflyBottle,14,,,3,4,,,,,,,,,-1,,,,,,,,3,1,3,[33],0,850,测试,0,,100014,放置后可照亮周围小片区域,在空岛地形用小玻璃瓶捕捉蝴蝶获得,icon149,2,,,,1.5,1.5,1.5,200,64,0,5,,,,,,,,,,,,,,,,,,
150,红土耕地,RedFarmland,11,,,,3,,,,,,,,,-1,,,,,,,,3,1,0,,,50,测试,,,,可种植适应特殊的作物，必须靠近水或用花洒灌溉才能保持湿润,使用耙开垦红土获得,,2,,,,,,,200,64,0,5,,,,,,,,,,,,,,,,,,
151,红土土坑,RedBuryland,11,,,,3,,,,,,,,,-1,,,,,,,,3,1,0,,,50,测试,,,,可种植特殊的植物，必须靠近水或用花洒灌溉才能保持湿润,使用铲子开垦红土获得,,2,,,,,,,200,64,0,5,,,,,,,,,,,,,,,,,,
152,星球岩竖薄板,,13,,,4,4,,,,,,,,,-1,,,,,,,,3,1,4,[44],45,850,测试,22,,100011,竖立着的轻薄石板，可堆叠改变厚度,在工匠台用萌眼星石块加工,,2,,,,,,,200,64,0,5,514,1,VaryVerticalSlab_OnUse,,,,,,,,,,,,,,,
153,竹板竖薄板,,13,,,4,4,,,,,,,,,-1,,,,,,,,3,1,4,[44],45,850,测试,22,,100011,竖立着的轻薄木板，可堆叠改变厚度,在工匠台用竹子加工,,2,,,,,,,200,64,0,5,514,1,VaryVerticalSlab_OnUse,,,,,,,,,,,,,,,
154,胭脂红竖薄板,,13,,,4,4,,,,,,,,,-1,,,,,,,,3,1,4,[44],45,850,测试,22,,100011,竖立着的轻薄木板，可堆叠改变厚度,在工匠台用胭脂红颜料刷漆加工,,2,,,,,,,200,64,0,5,514,1,VaryVerticalSlab_OnUse,,,,,,,,,,,,,,,
155,水泥砖竖薄板,,13,,,4,4,,,,,,,,,-1,,,,,,,,3,1,4,[44],45,850,测试,22,,100011,竖立着的轻薄石板，可堆叠改变厚度,在工匠台用水泥砖加工,,2,,,,,,,200,64,0,5,514,1,VaryVerticalSlab_OnUse,,,,,,,,,,,,,,,
156,硫黄砖竖薄板,,13,,,4,4,,,,,,,,,-1,,,,,,,,3,1,4,[44],45,850,测试,22,,100011,竖立着的轻薄石板，可堆叠改变厚度,在工匠台用硫黄砖块加工,,2,,,,,,,200,64,0,5,514,1,VaryVerticalSlab_OnUse,,,,,,,,,,,,,,,
157,石质竖薄板,,13,,,4,4,,,,,,,,,-1,,,,,,,,3,1,4,[44],45,850,测试,22,,100011,竖立着的轻薄石板，可堆叠改变厚度,在工匠台用石料加工,,2,,,,,,,200,64,0,5,514,1,VaryVerticalSlab_OnUse,,,,,,,,,,,,,,,
158,精制石砖竖薄板,,13,,,4,4,,,,,,,,,-1,,,,,,,,3,1,4,[44],45,850,测试,22,,100011,竖立着的轻薄石板，可堆叠改变厚度,在工匠台用岩石加工,,2,,,,,,,200,64,0,5,514,1,VaryVerticalSlab_OnUse,,,,,,,,,,,,,,,
159,钛合金竖薄板,,13,,,4,4,,,,,,,,,-1,,,,,,,,3,1,4,[44],45,850,测试,22,,100011,竖立着的轻薄金属板，可堆叠改变厚度,在工匠台用钛合金加工,,2,,,,,,,200,64,0,5,514,1,VaryVerticalSlab_OnUse,,,,,,,,,,,,,,,
160,黄铜竖薄板,,13,,,4,4,,,,,,,,,-1,,,,,,,,3,1,4,[44],45,850,测试,22,,100011,竖立着的轻薄金属板，可堆叠改变厚度,在工匠台用黄铜加工,,2,,,,,,,200,64,0,5,514,1,VaryVerticalSlab_OnUse,,,,,,,,,,,,,,,
161,云母竖薄板,,13,,,4,4,,,,,,,,,-1,,,,,,,,3,1,4,[44],45,850,测试,22,,100011,竖立着的轻薄金属板，可堆叠改变厚度,在工匠台用云母加工,,2,,,,,,,200,64,0,5,514,1,VaryVerticalSlab_OnUse,,,,,,,,,,,,,,,
162,秘银竖薄板,,13,,,4,4,,,,,,,,,-1,,,,,,,,3,1,4,[44],45,850,测试,22,,100011,竖立着的轻薄金属板，可堆叠改变厚度,在工匠台用秘银加工,,2,,,,,,,200,64,0,5,514,1,VaryVerticalSlab_OnUse,,,,,,,,,,,,,,,
163,炽炎竖薄板,,13,,,4,4,,,,,,,,,-1,,,,,,,,3,1,4,[44],45,850,测试,22,,100011,竖立着的轻薄金属板，可堆叠改变厚度,在工匠台用炽炎加工,,2,,,,,,,200,64,0,5,514,1,VaryVerticalSlab_OnUse,,,,,,,,,,,,,,,
164,柠檬黄竖薄板,,13,,,4,4,,,,,,,,,-1,,,,,,,,3,1,4,[44],45,850,测试,22,,100011,竖立着的轻薄木板，可堆叠改变厚度,在工匠台用柠檬黄颜料刷漆加工,,2,,,,,,,200,64,0,5,514,1,VaryVerticalSlab_OnUse,,,,,,,,,,,,,,,
165,苍石灰竖薄板,,13,,,4,4,,,,,,,,,-1,,,,,,,,3,1,4,[44],45,850,测试,22,,100011,竖立着的轻薄木板，可堆叠改变厚度,在工匠台用苍石灰颜料刷漆加工,,2,,,,,,,200,64,0,5,514,1,VaryVerticalSlab_OnUse,,,,,,,,,,,,,,,
166,深栗红竖薄板,,13,,,4,4,,,,,,,,,-1,,,,,,,,3,1,4,[44],45,850,测试,22,,100011,竖立着的轻薄木板，可堆叠改变厚度,在工匠台用栗红木颜料刷漆加工,,2,,,,,,,200,64,0,5,514,1,VaryVerticalSlab_OnUse,,,,,,,,,,,,,,,
